service,endpoint,method,status,category,severity,query,path_params,headers,request_body,response_snippet,error,elapsed_ms,ts
gateway,/api/v1/polymarket-us/markets/{id},GET,404.0,invariant,high,,{'id': '1'},,,,market id '1' from list returned 404 on detail endpoint,,1777611395.1084218
gateway,/api/v1/polymarket-us/markets/{slug},GET,404.0,invariant,high,,{'slug': 'aec-nfl-lac-ten-2025-11-02'},,,,market slug 'aec-nfl-lac-ten-2025-11-02' from list returned 404 on detail endpoint,,1777611395.109652
gateway,/api/v1/polymarket-us/markets/{id},GET,404.0,invariant,high,,{'id': '2'},,,,market id '2' from list returned 404 on detail endpoint,,1777611395.110531
gateway,/api/v1/polymarket-us/markets/{slug},GET,404.0,invariant,high,,{'slug': 'aec-nfl-car-gb-2025-11-02'},,,,market slug 'aec-nfl-car-gb-2025-11-02' from list returned 404 on detail endpoint,,1777611395.1107578
gateway,/api/v1/polymarket-us/markets/{id},GET,404.0,invariant,high,,{'id': '3'},,,,market id '3' from list returned 404 on detail endpoint,,1777611395.1109009
gateway,/api/v1/polymarket-us/markets/{slug},GET,404.0,invariant,high,,{'slug': 'aec-nfl-min-det-2025-11-02'},,,,market slug 'aec-nfl-min-det-2025-11-02' from list returned 404 on detail endpoint,,1777611395.111181
gateway,/api/v1/polymarket-us/markets/{id},GET,404.0,invariant,high,,{'id': '4'},,,,market id '4' from list returned 404 on detail endpoint,,1777611395.111344
gateway,/api/v1/polymarket-us/markets/{slug},GET,404.0,invariant,high,,{'slug': 'aec-nfl-atl-ne-2025-11-02'},,,,market slug 'aec-nfl-atl-ne-2025-11-02' from list returned 404 on detail endpoint,,1777611395.111618
gateway,/api/v1/polymarket-us/markets/{id},GET,404.0,invariant,high,,{'id': '5'},,,,market id '5' from list returned 404 on detail endpoint,,1777611395.111827
gateway,/api/v1/polymarket-us/markets/{slug},GET,404.0,invariant,high,,{'slug': 'aec-nfl-no-lar-2025-11-02'},,,,market slug 'aec-nfl-no-lar-2025-11-02' from list returned 404 on detail endpoint,,1777611395.11204
gateway,/api/v1/polymarket-us/events/{slug},GET,400.0,invariant,high,,{'slug': 'aec-nba-sa-chi-2025-11-10'},,,"{'code': 3, 'message': 'type mismatch, parameter: id, error: strconv.ParseInt: parsing ""aec-nba-sa-chi-2025-11-10"": invalid syntax', 'details': []}",event slug 'aec-nba-sa-chi-2025-11-10' from list returned 400 on detail endpoint,,1777611396.4746408
gateway,/api/v1/polymarket-us/events/{slug},GET,400.0,invariant,high,,{'slug': 'aec-nba-ind-gs-2025-11-09'},,,"{'code': 3, 'message': 'type mismatch, parameter: id, error: strconv.ParseInt: parsing ""aec-nba-ind-gs-2025-11-09"": invalid syntax', 'details': []}",event slug 'aec-nba-ind-gs-2025-11-09' from list returned 400 on detail endpoint,,1777611396.475805
gateway,/api/v1/polymarket-us/events/{slug},GET,400.0,invariant,high,,{'slug': 'aec-nba-min-uta-2025-11-10'},,,"{'code': 3, 'message': 'type mismatch, parameter: id, error: strconv.ParseInt: parsing ""aec-nba-min-uta-2025-11-10"": invalid syntax', 'details': []}",event slug 'aec-nba-min-uta-2025-11-10' from list returned 400 on detail endpoint,,1777611396.475961
gateway,/api/v1/coinbase/products/{product_id}/ticker,GET,400.0,invariant,high,,{'product_id': 'GNO-USDT'},,,,product 'GNO-USDT' listed but ticker returned 400,,1777611399.09895
gateway,/api/v1/coinbase/products/{product_id}/ticker,GET,400.0,invariant,high,,{'product_id': 'PERP-EUR'},,,,product 'PERP-EUR' listed but ticker returned 400,,1777611399.107705
gateway,/health,GET,200.0,ok,info,{},{},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x108437810>,OK,,204.487,1777606463.084688
gateway,/api/v1/coinbase/products,GET,200.0,ok,info,{},{},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x1072526d0>,"[{""id"":""POND-USDT"",""base_currency"":""POND"",""quote_currency"":""USDT"",""quote_increment"":""0.00001"",""base_increment"":""1"",""display_name"":""POND-USDT"",""min_market_funds"":""1"",""margin_enabled"":false,""post_only"":false,""limit_only"":false,""cancel_only"":false,""status"":""delisted"",""status_message"":"""",""trading_disabled"":true,""fx_stablecoin"":false,""max_slippage_percentage"":""0.03000000"",""auction_mode"":false,""high_bid",,212.677,1777606463.595795
gateway,/api/v1/coinbase/products/{product_id},GET,200.0,ok,info,{},{'product_id': 'BTC-USD'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10869d610>,"{""id"":""BTC-USD"",""base_currency"":""BTC"",""quote_currency"":""USD"",""quote_increment"":""0.01"",""base_increment"":""0.00000001"",""display_name"":""BTC-USD"",""min_market_funds"":""1"",""margin_enabled"":false,""post_only"":false,""limit_only"":false,""cancel_only"":false,""status"":""online"",""status_message"":"""",""trading_disabled"":false,""fx_stablecoin"":false,""max_slippage_percentage"":""0.02000000"",""auction_mode"":false,""high_bid_l",,258.385,1777606464.121384
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': 'response_snippet'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x108677d50>,"{""message"":""NotFound""}",,235.687,1777606464.633211
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '0'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10851a290>,"{""message"":""NotFound""}",,274.31600000000003,1777606465.174038
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': 'gW%C3%B2%F2%9E%A5%AC%C2%BA%F1%AB%BD%92%C3%8D%F2%9E%99%87'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x10851b390>,"{""message"":""NotFound""}",,236.937,1777606465.677205
gateway,/api/v1/coinbase/products/{product_id},GET,404.0,client_error,info,{},{'product_id': '%F0%96%88%9E'},"{'User-Agent': 'graylayer-fuzz/1.0 (COM S 4170 project)', 'Accept': 'application/json'}",<schemathesis.types.NotSet object at 0x105e30290>,"{""message"":""NotFound""}",,242.593,1777606466.184427
